doc,title,query
1,Spiced Hot Chocolate,how to make spicy hot chocolate
1,Spiced Hot Chocolate,how to make hot chocolate with nutmeg and cinnamon
1,Spiced Hot Chocolate,what is in hot chocolate
2,Cosmopolitan Cocktail,what are the ingredients in a cocktail shaker
2,Cosmopolitan Cocktail,how to make a chicago cocktail
2,Cosmopolitan Cocktail,how to make a cosmopolitan cocktail
3,Strawberry Shortcake Drink,what flavor does amaretto liqueur have
3,Strawberry Shortcake Drink,how to make strawberry frappuccino
3,Strawberry Shortcake Drink,how to make a strawberry flavored cocktail
4,Beet Smoothie,how to make beet juice
4,Beet Smoothie,what is beet juice
4,Beet Smoothie,how to make beet smoothie
5,Apple Jack Shot,how many oz of sour apples in a shot glass
5,Apple Jack Shot,how many oz of whiskey is in a shot glass
5,Apple Jack Shot,how to serve sour apple schnapps
6,Mulled Wine with Honey,how long to simmer mulled wine
6,Mulled Wine with Honey,how to make mulled wine
6,Mulled Wine with Honey,what is in mulled wine
7,Citrus Blueberry Slush,how to make slush from frozen orange juice
7,Citrus Blueberry Slush,what is frozen blueberry slush
7,Citrus Blueberry Slush,how to make fresh blueberries slush
8,Home-Made Coffee Liqueur,how long does it take for coffee to evaporate
8,Home-Made Coffee Liqueur,how to make coffee liqueur
8,Home-Made Coffee Liqueur,how to make coffee liqueur
9,Saints and Strangers Cocktail,how to make a martini
9,Saints and Strangers Cocktail,what color is grapefruit juice
9,Saints and Strangers Cocktail,what juices are in a martini
10,Hot Cinnamon Apple Brandy Cider,how to make hot apple cider
10,Hot Cinnamon Apple Brandy Cider,how to make apple cider
10,Hot Cinnamon Apple Brandy Cider,how to make fresh apple cider
11,Homemade White Hot Chocolate,how to make homemade white hot chocolate
11,Homemade White Hot Chocolate,how to make white hot chocolate
11,Homemade White Hot Chocolate,how to make hot chocolate
12,Dirty Martini,how to make a dirty martini
12,Dirty Martini,what are dirty martini ingredients
12,Dirty Martini,what is a dirty martini
13,Homemade Blackberry Lemonade,how to make lemonade from scratch
13,Homemade Blackberry Lemonade,how to make simple syrup lemonade
13,Homemade Blackberry Lemonade,how to make a simple syrup for blackberries
14,"Citrus, Turmeric, and Ginger Juice",can you add turmeric to apple juice
14,"Citrus, Turmeric, and Ginger Juice",is turmeric good with ginger
14,"Citrus, Turmeric, and Ginger Juice",does turmeric come in vinegar
15,Onion Tea (Home Remedy for Cough),home remedies for cough
15,Onion Tea (Home Remedy for Cough),what to drink with a cough
15,Onion Tea (Home Remedy for Cough),what makes good tea
16,Spiked Strawberry Lemonade,how to make strawberry lemonade
16,Spiked Strawberry Lemonade,how to make strawberry lemonade
16,Spiked Strawberry Lemonade,how to make strawberry lemonade
17,Simple Syrup,how long does sugar last in the refrigerator
17,Simple Syrup,how to make syrup with sugar and water
17,Simple Syrup,how to make simple syrup
18,Banana-Oat Protein Shake,what is in a banana shake
18,Banana-Oat Protein Shake,what to eat with bananas and dates
18,Banana-Oat Protein Shake,what can you combine in a banana and date shake
19,Raspberry Rose Wine Slushie,what kind of wine can you use in slushies
19,Raspberry Rose Wine Slushie,how to make a slushie with raspberries
19,Raspberry Rose Wine Slushie,how to make raspberries in the blender
20,Polar Express Hot Chocolate,how long to make cold chocolate
20,Polar Express Hot Chocolate,how long do you cook a cup of sweetened condensed milk
20,Polar Express Hot Chocolate,how long to warm a cup of chocolate
21,The Best Lemon Iced Tea,how to make lemonade
21,The Best Lemon Iced Tea,how to make fresh lemonade
21,The Best Lemon Iced Tea,how to make iced lemon tea
22,Holiday Coffee Liquor,what is liqueur made of
22,Holiday Coffee Liquor,how to make coffee liqueur
22,Holiday Coffee Liquor,what ingredients make a liqueur
23,Hot Pink Lemonade,what is the color of blueberry lemonade
23,Hot Pink Lemonade,how to make lemonade
23,Hot Pink Lemonade,what to use for pink lemonade
24,Polynesian Watermelon Drink (&#39;Otai),how to make pure watermelon in panama
24,Polynesian Watermelon Drink (&#39;Otai),how to make a watermelon with coconut
24,Polynesian Watermelon Drink (&#39;Otai),what is the difference between crushed pineapple and watermelon
25,Kahlúa Homemade,how to make kahlia
25,Kahlúa Homemade,how to make kahla
25,Kahlúa Homemade,how to make kahlia coffee
26,Red Slush Punch,how to make red slush punch
26,Red Slush Punch,how to make red slush in a freezer
26,Red Slush Punch,how to make a strawberry slush drink
27,Breakfast Zinger Juice,what is juice for beets
27,Breakfast Zinger Juice,is beet juice cleanse
27,Breakfast Zinger Juice,what to juice for cleansing
28,Mulled Wine (Vin Chaud),can you make vin chaud
28,Mulled Wine (Vin Chaud),what to use for vin chaud
28,Mulled Wine (Vin Chaud),how to make vin chaud
29,Icy Banana Milkshake,how long to blend a banana milkshake
29,Icy Banana Milkshake,how long does it take to make a banana milkshake
29,Icy Banana Milkshake,how to make a milkshake
30,Melon Smoothie,how to make honeydew melon
30,Melon Smoothie,cantaloupe juice
30,Melon Smoothie,cantaloupe honeydew juice
31,Cozy Mulled Wine,how long to steam ginger in slow cooker
31,Cozy Mulled Wine,how long to steam mulled wine
31,Cozy Mulled Wine,how to make mulled wine in slow cooker
32,Strawberry-Mint Soda,how to make a soda for a hot summer day
32,Strawberry-Mint Soda,how to make club soda
32,Strawberry-Mint Soda,how to make a lime drink
33,Strawberry-Banana-Peanut Butter Smoothie,what is a banana smoothie
33,Strawberry-Banana-Peanut Butter Smoothie,how to make strawberry yogurt
33,Strawberry-Banana-Peanut Butter Smoothie,how to make healthy oatmeal with yogurt
34,Chocolate-y Iced Mocha,what to put in a mocha
34,Chocolate-y Iced Mocha,how to make a mocha drink at home
34,Chocolate-y Iced Mocha,how to make chocolate iced mocha
35,Thai Coffee,how to serve thai coffee
35,Thai Coffee,how to make thai coffee
35,Thai Coffee,how to make thai coffee
36,Peach Cosmo,how to make a peach martini drink
36,Peach Cosmo,how to make a peach cosmopolitan
36,Peach Cosmo,how to make a crock pot martini with cranberry juice
37,White Wine and Apple Sangria,how to make sangria with white sugar
37,White Wine and Apple Sangria,how to make sangria with apple juice
37,White Wine and Apple Sangria,how long to make sangria
38,Cold Brew and Tonic,how to brew cold brew coffee
38,Cold Brew and Tonic,how to make a cold brew drink
38,Cold Brew and Tonic,what to use to make cold brew coffee
39,Chocolate Banana Peanut Butter Protein Shake,how to make a chocolate protein shake
39,Chocolate Banana Peanut Butter Protein Shake,how to make a chocolate protein shake
